transaction_id,order_id,product_id,quantity,total_product_price,Unit_price,discount_code_used,discount_value,shipping_cost,total_payable,return_stat,return_date,Order_date,Total_order_amount
TX1008,ORD1008,P1960,3,183.84,61.28,Yes,43.16,15.13,155.81,Not Returned,,13-04-2025,155.81
TX1009,ORD1009,P1962,2,83.7,41.85,Yes,19.67,10.56,74.59,Not Returned,,30-03-2025,74.59
TX1010,ORD1010,P1489,2,104.88,52.44,No,0,7.73,112.61,Not Returned,,08-05-2025,112.61
TX1010,ORD1010,P1156,2,50.82,25.41,No,0,4.58,55.4,Returned,13-05-2025 15:12,08-05-2025,4.58
TX1010,ORD1010,P1398,2,235.64,117.82,No,0,18.75,254.39,Not Returned,,08-05-2025,254.39
TX1011,ORD1011,P1474,1,51.43,51.43,No,0,6.08,57.51,Returned,26-05-2025 10:11,21-05-2025,6.08
TX1011,ORD1011,P1199,1,44.67,44.67,No,0,22.77,67.44,Not Returned,,21-05-2025,67.44
TX1011,ORD1011,P1218,3,78.03,26.01,Yes,18.09,13.1,73.04,Returned,29-05-2025 10:11,21-05-2025,13.1
TX1012,ORD1012,P1996,3,565.41,188.47,Yes,71.63,10.36,504.14,Not Returned,,29-05-2025,504.14
TX1013,ORD1013,P1625,2,158.62,79.31,Yes,31.08,15.9,143.44,Not Returned,,24-04-2025,143.44
TX1013,ORD1013,P1850,3,149.49,49.83,Yes,22.3,23.75,150.94,Returned,01-05-2025 07:07,24-04-2025,23.75
TX1014,ORD1014,P1563,1,67.71,67.71,No,0,7.79,75.5,Not Returned,,08-03-2025,75.5
TX1014,ORD1014,P1972,2,206.98,103.49,Yes,32.89,1.89,175.98,Not Returned,,08-03-2025,175.98
TX1014,ORD1014,P1289,1,49.85,49.85,No,0,10.2,60.05,Not Returned,,08-03-2025,60.05
TX1015,ORD1015,P1943,2,95.38,47.69,Yes,20.62,5.73,80.49,Not Returned,,16-03-2025,80.49
TX1015,ORD1015,P1069,1,65.93,65.93,Yes,10.22,3.5,59.21,Not Returned,,16-03-2025,59.21
TX1016,ORD1016,P1385,3,39.06,13.02,Yes,8.06,0.43,31.43,Not Returned,,31-03-2025,31.43
TX1017,ORD1017,P1607,2,365.38,182.69,No,0,22.72,388.1,Returned,05-04-2025 23:38,26-03-2025,22.72
TX1017,ORD1017,P1928,3,27.48,9.16,No,0,10.87,38.35,Not Returned,,26-03-2025,38.35
TX1017,ORD1017,P1620,2,72.32,36.16,Yes,14.65,8.52,66.19,Not Returned,,26-03-2025,66.19
TX1018,ORD1018,P1345,3,403.26,134.42,No,0,22.2,425.46,Not Returned,,08-05-2025,425.46
TX1019,ORD1019,P1605,2,144.6,72.3,Yes,35.4,11.87,121.07,Not Returned,,17-03-2025,121.07
TX1020,ORD1020,P1818,3,150.24,50.08,Yes,37.72,23.37,135.89,Not Returned,,11-04-2025,135.89
TX1020,ORD1020,P1097,3,307.35,102.45,Yes,68.35,2.21,241.21,Returned,16-04-2025 14:54,11-04-2025,2.21
TX1020,ORD1020,P1447,2,869.62,434.81,Yes,246.83,24.94,647.73,Not Returned,,11-04-2025,647.73
TX1021,ORD1021,P1358,3,162.93,54.31,No,0,5.44,168.37,Not Returned,,03-04-2025,168.37
TX1021,ORD1021,P1369,2,99.16,49.58,Yes,27.87,8.09,79.38,Returned,11-04-2025 03:22,03-04-2025,8.09
TX1022,ORD1022,P1010,1,218.12,218.12,No,0,15.41,233.53,Not Returned,,17-04-2025,233.53
TX1022,ORD1022,P1042,2,45.9,22.95,No,0,13.71,59.61,Not Returned,,17-04-2025,59.61
TX1022,ORD1022,P1142,1,115.49,115.49,No,0,7.45,122.94,Not Returned,,17-04-2025,122.94
TX1023,ORD1023,P1641,3,1167.9,389.3,Yes,220.67,22.68,969.91,Not Returned,,12-03-2025,969.91
TX1024,ORD1024,P1175,1,109.57,109.57,No,0,5.44,115.01,Not Returned,,26-04-2025,115.01
TX1024,ORD1024,P1540,3,216.15,72.05,No,0,17.31,233.46,Not Returned,,26-04-2025,233.46
TX1024,ORD1024,P1484,3,274.95,91.65,No,0,16.09,291.04,Not Returned,,26-04-2025,291.04
TX1025,ORD1025,P1717,2,94.58,47.29,No,0,17.61,112.19,Not Returned,,01-04-2025,112.19
TX1026,ORD1026,P1822,3,306.3,102.1,Yes,86.02,17.28,237.56,Not Returned,,11-05-2025,237.56
TX1026,ORD1026,P1874,1,78.01,78.01,Yes,8.39,9.8,79.42,Not Returned,,11-05-2025,79.42
TX1026,ORD1026,P1705,1,40.74,40.74,No,0,14.83,55.57,Not Returned,,11-05-2025,55.57
TX1027,ORD1027,P1402,2,86.14,43.07,No,0,6.66,92.8,Returned,16-04-2025 22:33,11-04-2025,6.66
TX1027,ORD1027,P1961,1,31.14,31.14,Yes,4.32,10.19,37.01,Not Returned,,11-04-2025,37.01
TX1027,ORD1027,P1404,1,18.73,18.73,Yes,2.59,12.44,28.58,Not Returned,,11-04-2025,28.58
TX1028,ORD1028,P1983,2,53.18,26.59,No,0,21.05,74.23,Returned,14-03-2025 06:57,05-03-2025,21.05
TX1029,ORD1029,P1829,2,51.84,25.92,Yes,8.13,5.64,49.35,Not Returned,,22-03-2025,49.35
TX1030,ORD1030,P1089,2,284.2,142.1,No,0,12.07,296.27,Not Returned,,11-05-2025,296.27
TX1031,ORD1031,P1775,1,79.61,79.61,No,0,5.12,84.73,Not Returned,,13-04-2025,84.73
TX1031,ORD1031,P1671,2,42.78,21.39,No,0,19.59,62.37,Not Returned,,13-04-2025,62.37
TX1031,ORD1031,P1211,3,42.81,14.27,Yes,11.28,2.59,34.12,Not Returned,,13-04-2025,34.12
TX1032,ORD1032,P1568,1,84.9,84.9,No,0,8.34,93.24,Not Returned,,30-04-2025,93.24
TX1032,ORD1032,P1298,1,128.59,128.59,No,0,9.6,138.19,Not Returned,,30-04-2025,138.19
TX1033,ORD1033,P1983,2,53.18,26.59,Yes,10.16,10.58,53.6,Returned,18-04-2025 16:07,12-04-2025,10.58
TX1033,ORD1033,P1359,2,129.52,64.76,No,0,17.74,147.26,Not Returned,,12-04-2025,147.26
TX1033,ORD1033,P1723,1,66.83,66.83,No,0,14.92,81.75,Not Returned,,12-04-2025,81.75
TX1034,ORD1034,P1191,1,11.76,11.76,No,0,21.48,33.24,Not Returned,,27-04-2025,33.24
TX1034,ORD1034,P1412,1,204.45,204.45,No,0,2.6,207.05,Not Returned,,27-04-2025,207.05
TX1034,ORD1034,P1276,2,65.98,32.99,Yes,15.46,22.6,73.12,Not Returned,,27-04-2025,73.12
TX1035,ORD1035,P1937,1,314.36,314.36,Yes,75.92,18.93,257.37,Not Returned,,13-03-2025,257.37
TX1036,ORD1036,P1431,1,29.56,29.56,Yes,5.46,3.78,27.88,Not Returned,,04-05-2025,27.88
TX1036,ORD1036,P1270,2,57.6,28.8,No,0,20.45,78.05,Returned,06-05-2025 03:12,04-05-2025,20.45
TX1036,ORD1036,P1405,2,177.12,88.56,No,0,20.4,197.52,Not Returned,,04-05-2025,197.52
TX1037,ORD1037,P1739,3,564.18,188.06,Yes,82.84,22.51,503.85,Not Returned,,17-03-2025,503.85
TX1037,ORD1037,P1829,1,25.92,25.92,Yes,7.44,5.11,23.59,Not Returned,,17-03-2025,23.59
TX1038,ORD1038,P1891,2,58.72,29.36,Yes,15.94,6.23,49.01,Not Returned,,30-04-2025,49.01
TX1038,ORD1038,P1535,1,31.25,31.25,No,0,15.57,46.82,Not Returned,,30-04-2025,46.82
TX1038,ORD1038,P1441,1,91.77,91.77,Yes,25.18,15.98,82.57,Not Returned,,30-04-2025,82.57
TX1039,ORD1039,P1725,2,26.84,13.42,Yes,5.3,3.11,24.65,Not Returned,,18-05-2025,24.65
TX1039,ORD1039,P1499,3,133.41,44.47,Yes,19.95,13.07,126.53,Not Returned,,18-05-2025,126.53
TX1040,ORD1040,P1188,1,96.92,96.92,No,0,3.18,100.1,Returned,08-05-2025 03:07,01-05-2025,3.18
TX1040,ORD1040,P1083,2,206.16,103.08,Yes,32.39,17.85,191.62,Not Returned,,01-05-2025,191.62
TX1041,ORD1041,P1078,2,115.58,57.79,No,0,19.51,135.09,Not Returned,,04-05-2025,135.09
TX1042,ORD1042,P1573,1,75.37,75.37,No,0,17.09,92.46,Not Returned,,28-03-2025,92.46
TX1043,ORD1043,P1524,1,106.44,106.44,No,0,8.87,115.31,Not Returned,,04-05-2025,115.31
TX1043,ORD1043,P1718,1,65.55,65.55,No,0,17.42,82.97,Not Returned,,04-05-2025,82.97
TX1043,ORD1043,P1510,2,25.76,12.88,Yes,7.23,21.42,39.95,Not Returned,,04-05-2025,39.95
TX1044,ORD1044,P1976,3,108.33,36.11,Yes,15.81,13.03,105.55,Not Returned,,27-04-2025,105.55
TX1045,ORD1045,P1515,2,57.76,28.88,No,0,15.52,73.28,Not Returned,,25-04-2025,73.28
TX1045,ORD1045,P1292,1,116.41,116.41,Yes,20.14,4.84,101.11,Not Returned,,25-04-2025,101.11
TX1046,ORD1046,P1634,3,329.04,109.68,Yes,67.05,20.93,282.92,Not Returned,,23-03-2025,282.92
TX1046,ORD1046,P1728,3,88.08,29.36,No,0,12.4,100.48,Not Returned,,23-03-2025,100.48
TX1046,ORD1046,P1392,2,88.6,44.3,Yes,24.68,20.83,84.75,Not Returned,,23-03-2025,84.75
TX1047,ORD1047,P1250,3,492.9,164.3,Yes,99.56,2.46,395.8,Not Returned,,07-05-2025,395.8
TX1048,ORD1048,P1874,3,234.03,78.01,No,0,19.04,253.07,Not Returned,,06-04-2025,253.07
TX1049,ORD1049,P1921,3,44.28,14.76,Yes,10.28,23.9,57.9,Not Returned,,06-05-2025,57.9
TX1049,ORD1049,P1040,2,174.56,87.28,No,0,12.28,186.84,Not Returned,,06-05-2025,186.84
TX1050,ORD1050,P1215,1,139.72,139.72,No,0,20.44,160.16,Not Returned,,22-04-2025,160.16
TX1050,ORD1050,P1982,3,9.27,3.09,Yes,2.49,3.43,10.21,Returned,27-04-2025 22:52,22-04-2025,3.43
TX1050,ORD1050,P1019,1,322.52,322.52,Yes,93.37,2.55,231.7,Not Returned,,22-04-2025,231.7
TX1051,ORD1051,P1139,3,292.95,97.65,No,0,10.84,303.79,Not Returned,,25-05-2025,303.79
TX1052,ORD1052,P1001,2,231.48,115.74,No,0,5.01,236.49,Not Returned,,21-04-2025,236.49
TX1053,ORD1053,P1093,2,630.24,315.12,No,0,20.36,650.6,Not Returned,,22-05-2025,650.6
TX1054,ORD1054,P1332,3,1491.69,497.23,Yes,230.98,8.98,1269.69,Returned,13-03-2025 04:50,05-03-2025,8.98
TX1054,ORD1054,P1035,3,188.82,62.94,No,0,20.15,208.97,Not Returned,,05-03-2025,208.97
TX1054,ORD1054,P1994,1,12.36,12.36,No,0,2,14.36,Not Returned,,05-03-2025,14.36
TX1055,ORD1055,P1121,2,122.52,61.26,Yes,14.19,20.08,128.41,Not Returned,,12-05-2025,128.41
TX1056,ORD1056,P1287,2,950.68,475.34,No,0,17.59,968.27,Not Returned,,21-04-2025,968.27
TX1056,ORD1056,P1776,1,33,33,No,0,18.1,51.1,Not Returned,,21-04-2025,51.1
TX1056,ORD1056,P1088,2,896.58,448.29,No,0,16.39,912.97,Not Returned,,21-04-2025,912.97
TX1057,ORD1057,P1353,2,114.62,57.31,Yes,15.1,10.8,110.32,Returned,05-05-2025 11:31,01-05-2025,10.8
TX1058,ORD1058,P1874,2,156.02,78.01,No,0,11.02,167.04,Not Returned,,19-03-2025,167.04
TX1059,ORD1059,P1849,2,230.98,115.49,No,0,8.14,239.12,Not Returned,,13-04-2025,239.12
TX1059,ORD1059,P1890,3,536.1,178.7,Yes,124.1,15.25,427.25,Not Returned,,13-04-2025,427.25
TX1060,ORD1060,P1214,1,2.25,2.25,No,0,8.69,10.94,Not Returned,,26-05-2025,10.94
TX1060,ORD1060,P1101,1,493.53,493.53,Yes,113.65,11.12,391,Not Returned,,26-05-2025,391
TX1061,ORD1061,P1884,2,175.74,87.87,Yes,40.17,8.11,143.68,Not Returned,,16-05-2025,143.68
TX1062,ORD1062,P1008,2,56.04,28.02,Yes,14.36,5.29,46.97,Not Returned,,09-04-2025,46.97
TX1062,ORD1062,P1042,1,22.95,22.95,No,0,12.48,35.43,Not Returned,,09-04-2025,35.43
TX1063,ORD1063,P1010,2,436.24,218.12,Yes,77.84,19.47,377.87,Not Returned,,04-03-2025,377.87
TX1063,ORD1063,P1685,1,119.79,119.79,Yes,32.98,22.61,109.42,Not Returned,,04-03-2025,109.42
TX1063,ORD1063,P1656,3,178.35,59.45,Yes,43.3,2.55,137.6,Not Returned,,04-03-2025,137.6
TX1064,ORD1064,P1117,3,40.44,13.48,No,0,17.59,58.03,Not Returned,,01-04-2025,58.03
TX1064,ORD1064,P1816,1,90.5,90.5,No,0,6.92,97.42,Not Returned,,01-04-2025,97.42
TX1065,ORD1065,P1661,2,53.5,26.75,Yes,15.53,19.29,57.26,Returned,18-05-2025 15:50,09-05-2025,19.29
TX1065,ORD1065,P1664,2,168.92,84.46,No,0,11,179.92,Returned,13-05-2025 15:50,09-05-2025,11
TX1066,ORD1066,P1162,2,179.38,89.69,No,0,8.55,187.93,Not Returned,,18-03-2025,187.93
TX1067,ORD1067,P1148,1,14.95,14.95,No,0,12.95,27.9,Not Returned,,07-03-2025,27.9
TX1067,ORD1067,P1632,1,77.89,77.89,Yes,8,22.66,92.55,Not Returned,,07-03-2025,92.55
TX1067,ORD1067,P1377,1,104.74,104.74,No,0,2.08,106.82,Not Returned,,07-03-2025,106.82
TX1068,ORD1068,P1746,1,113.13,113.13,Yes,14.61,14.29,112.81,Not Returned,,11-05-2025,112.81
TX1068,ORD1068,P1995,3,226.8,75.6,No,0,3.98,230.78,Not Returned,,11-05-2025,230.78
TX1068,ORD1068,P1315,2,187.44,93.72,Yes,25.46,8.41,170.39,Not Returned,,11-05-2025,170.39
TX1069,ORD1069,P1345,2,268.84,134.42,Yes,55.56,13.85,227.13,Not Returned,,03-03-2025,227.13
TX1070,ORD1070,P1811,3,145.92,48.64,Yes,36.06,3.08,112.94,Not Returned,,16-05-2025,112.94
TX1070,ORD1070,P1139,1,97.65,97.65,Yes,26.78,7.11,77.98,Not Returned,,16-05-2025,77.98
TX1070,ORD1070,P1176,3,147.63,49.21,Yes,29.49,16.96,135.1,Not Returned,,16-05-2025,135.1
TX1071,ORD1071,P1713,2,7.84,3.92,Yes,2.16,21,26.68,Not Returned,,03-03-2025,26.68
TX1072,ORD1072,P1093,3,945.36,315.12,No,0,11.65,957.01,Not Returned,,30-04-2025,957.01
TX1073,ORD1073,P1128,2,20.72,10.36,No,0,8.99,29.71,Not Returned,,02-03-2025,29.71
TX1074,ORD1074,P1424,3,432.57,144.19,Yes,108.54,24.08,348.11,Not Returned,,28-03-2025,348.11
TX1074,ORD1074,P1072,3,294.84,98.28,Yes,69.34,22.59,248.09,Not Returned,,28-03-2025,248.09
TX1074,ORD1074,P1369,2,99.16,49.58,Yes,17.61,22.2,103.75,Not Returned,,28-03-2025,103.75
TX1075,ORD1075,P1078,1,57.79,57.79,Yes,6.24,8.44,59.99,Not Returned,,20-05-2025,59.99
TX1075,ORD1075,P1288,2,660.06,330.03,Yes,119.91,20.85,561,Not Returned,,20-05-2025,561
TX1075,ORD1075,P1102,3,151.44,50.48,Yes,33.41,0.63,118.66,Not Returned,,20-05-2025,118.66
TX1076,ORD1076,P1361,3,184.26,61.42,Yes,43.31,1.36,142.31,Returned,20-05-2025 04:04,13-05-2025,1.36
TX1076,ORD1076,P1630,2,201.78,100.89,Yes,52.12,21.86,171.52,Not Returned,,13-05-2025,171.52
TX1077,ORD1077,P1274,2,191.98,95.99,Yes,53.98,21.41,159.41,Not Returned,,05-03-2025,159.41
TX1078,ORD1078,P1367,3,314.1,104.7,No,0,5.4,319.5,Not Returned,,16-04-2025,319.5
TX1078,ORD1078,P1696,3,289.23,96.41,Yes,70.59,9.07,227.71,Not Returned,,16-04-2025,227.71
TX1079,ORD1079,P1307,1,51.4,51.4,No,0,4.02,55.42,Returned,16-03-2025 00:20,13-03-2025,4.02
TX1079,ORD1079,P1511,1,330.86,330.86,Yes,90.16,15.76,256.46,Returned,21-03-2025 00:20,13-03-2025,15.76
TX1079,ORD1079,P1106,3,253.98,84.66,No,0,14.71,268.69,Not Returned,,13-03-2025,268.69
TX1080,ORD1080,P1512,2,172.38,86.19,No,0,23.52,195.9,Not Returned,,18-04-2025,195.9
TX1081,ORD1081,P1505,3,131.58,43.86,Yes,15.36,5.98,122.2,Not Returned,,11-05-2025,122.2
TX1081,ORD1081,P1124,2,16.16,8.08,No,0,2.01,18.17,Not Returned,,11-05-2025,18.17
TX1082,ORD1082,P1668,1,447.66,447.66,No,0,9.75,457.41,Not Returned,,19-04-2025,457.41
TX1083,ORD1083,P1694,3,10.56,3.52,No,0,15.83,26.39,Not Returned,,27-05-2025,26.39
TX1083,ORD1083,P1962,1,41.85,41.85,Yes,8.35,18.93,52.43,Not Returned,,27-05-2025,52.43
TX1083,ORD1083,P1103,1,321.59,321.59,No,0,5.03,326.62,Not Returned,,27-05-2025,326.62
TX1084,ORD1084,P1495,2,52.52,26.26,No,0,8.55,61.07,Not Returned,,01-03-2025,61.07
TX1084,ORD1084,P1440,3,48.33,16.11,Yes,13.14,1.16,36.35,Not Returned,,01-03-2025,36.35
TX1085,ORD1085,P1138,3,30.72,10.24,No,0,3.89,34.61,Not Returned,,02-05-2025,34.61
TX1086,ORD1086,P1305,3,30.12,10.04,Yes,4.21,7.08,32.99,Not Returned,,18-05-2025,32.99
TX1087,ORD1087,P1774,3,97.68,32.56,Yes,25.73,13.1,85.05,Not Returned,,10-04-2025,85.05
TX1088,ORD1088,P1325,1,171.9,171.9,No,0,1.82,173.72,Not Returned,,04-04-2025,173.72
TX1088,ORD1088,P1243,2,55.3,27.65,No,0,16.53,71.83,Not Returned,,04-04-2025,71.83
TX1088,ORD1088,P1271,2,95.62,47.81,Yes,17.98,18.88,96.52,Returned,09-04-2025 13:44,04-04-2025,18.88
TX1089,ORD1089,P1558,3,1288.26,429.42,No,0,24.06,1312.32,Not Returned,,23-03-2025,1312.32
TX1089,ORD1089,P1398,3,353.46,117.82,Yes,49.5,8.51,312.47,Not Returned,,23-03-2025,312.47
TX1090,ORD1090,P1629,3,11.64,3.88,No,0,19.77,31.41,Not Returned,,17-05-2025,31.41
TX1090,ORD1090,P1530,3,234.36,78.12,No,0,6.48,240.84,Not Returned,,17-05-2025,240.84
TX1091,ORD1091,P1088,1,448.29,448.29,No,0,2.4,450.69,Not Returned,,03-05-2025,450.69
TX1091,ORD1091,P1087,1,80.28,80.28,Yes,15.65,13.88,78.51,Not Returned,,03-05-2025,78.51
TX1092,ORD1092,P1721,2,258.28,129.14,Yes,58.9,19.67,219.05,Not Returned,,16-04-2025,219.05
TX1093,ORD1093,P1448,1,55.05,55.05,No,0,8.96,64.01,Returned,26-04-2025 17:13,22-04-2025,8.96
TX1094,ORD1094,P1511,2,661.72,330.86,No,0,2.02,663.74,Not Returned,,02-04-2025,663.74
TX1094,ORD1094,P1682,2,404.76,202.38,No,0,14.09,418.85,Not Returned,,02-04-2025,418.85
TX1095,ORD1095,P1799,1,55.64,55.64,No,0,2.45,58.09,Not Returned,,16-05-2025,58.09
TX1095,ORD1095,P1065,3,283.65,94.55,No,0,7.56,291.21,Not Returned,,16-05-2025,291.21
TX1096,ORD1096,P1927,1,38.83,38.83,No,0,1.14,39.97,Not Returned,,13-05-2025,39.97
TX1096,ORD1096,P1436,2,263.9,131.95,No,0,11.07,274.97,Not Returned,,13-05-2025,274.97
TX1097,ORD1097,P1482,3,191.58,63.86,Yes,47.98,14.97,158.57,Not Returned,,31-03-2025,158.57
TX1098,ORD1098,P1312,1,111.39,111.39,No,0,6.31,117.7,Not Returned,,10-05-2025,117.7
TX1098,ORD1098,P1153,3,1042.59,347.53,No,0,12.34,1054.93,Not Returned,,10-05-2025,1054.93
TX1098,ORD1098,P1969,3,154.14,51.38,Yes,38.54,2.42,118.02,Not Returned,,10-05-2025,118.02
TX1099,ORD1099,P1026,1,74.02,74.02,No,0,17.02,91.04,Not Returned,,23-04-2025,91.04
TX1099,ORD1099,P1219,1,38.62,38.62,Yes,9.6,8.03,37.05,Not Returned,,23-04-2025,37.05
TX1099,ORD1099,P1425,1,291.7,291.7,No,0,11.49,303.19,Not Returned,,23-04-2025,303.19
TX1100,ORD1100,P1982,1,3.09,3.09,No,0,0.5,3.59,Not Returned,,18-05-2025,3.59
TX1101,ORD1101,P1136,1,50.46,50.46,Yes,14.99,15.04,50.51,Not Returned,,04-03-2025,50.51
TX1101,ORD1101,P1539,2,389.42,194.71,Yes,108.27,8.07,289.22,Returned,14-03-2025 16:41,04-03-2025,8.07
TX1102,ORD1102,P1917,1,14.17,14.17,No,0,8.01,22.18,Not Returned,,18-04-2025,22.18
TX1102,ORD1102,P1671,2,42.78,21.39,Yes,5.33,12.94,50.39,Not Returned,,18-04-2025,50.39
TX1103,ORD1103,P1271,1,47.81,47.81,Yes,6.51,15.09,56.39,Not Returned,,25-03-2025,56.39
TX1104,ORD1104,P1059,3,14.22,4.74,No,0,15.73,29.95,Not Returned,,14-04-2025,29.95
TX1104,ORD1104,P1299,2,33.18,16.59,Yes,5.45,18.11,45.84,Not Returned,,14-04-2025,45.84
TX1104,ORD1104,P1243,1,27.65,27.65,No,0,17.07,44.72,Returned,21-04-2025 06:01,14-04-2025,17.07
TX1105,ORD1105,P1375,3,432,144,No,0,17.42,449.42,Returned,02-04-2025 11:10,30-03-2025,17.42
TX1105,ORD1105,P1143,2,159.4,79.7,Yes,18.38,18.47,159.49,Not Returned,,30-03-2025,159.49
TX1105,ORD1105,P1339,2,388.36,194.18,No,0,11.59,399.95,Not Returned,,30-03-2025,399.95
TX1106,ORD1106,P1232,2,124.4,62.2,Yes,19.97,12.83,117.26,Not Returned,,04-04-2025,117.26
TX1107,ORD1107,P1203,2,51.7,25.85,No,0,21.24,72.94,Not Returned,,17-04-2025,72.94
TX1107,ORD1107,P1392,3,132.9,44.3,Yes,17.98,20.65,135.57,Not Returned,,17-04-2025,135.57
TX1107,ORD1107,P1829,2,51.84,25.92,Yes,15.53,9.72,46.03,Returned,26-04-2025 14:34,17-04-2025,9.72
TX1108,ORD1108,P1561,1,2.03,2.03,Yes,0.56,4.14,5.61,Not Returned,,25-05-2025,5.61
TX1108,ORD1108,P1136,1,50.46,50.46,Yes,5.29,20.7,65.87,Not Returned,,25-05-2025,65.87
TX1109,ORD1109,P1504,1,22.28,22.28,No,0,7.15,29.43,Not Returned,,31-03-2025,29.43
TX1109,ORD1109,P1198,1,214.48,214.48,No,0,13.7,228.18,Not Returned,,31-03-2025,228.18
TX1109,ORD1109,P1554,2,176.84,88.42,Yes,50.63,16.28,142.49,Not Returned,,31-03-2025,142.49
TX1110,ORD1110,P1678,3,109.2,36.4,Yes,26.5,3.62,86.32,Not Returned,,02-04-2025,86.32
TX1110,ORD1110,P1829,2,51.84,25.92,No,0,11.63,63.47,Not Returned,,02-04-2025,63.47
TX1110,ORD1110,P1097,2,204.9,102.45,Yes,22.8,15.47,197.57,Not Returned,,02-04-2025,197.57
TX1111,ORD1111,P1255,3,163.35,54.45,No,0,21.09,184.44,Not Returned,,19-05-2025,184.44
TX1111,ORD1111,P1807,3,63.63,21.21,No,0,12.95,76.58,Not Returned,,19-05-2025,76.58
TX1112,ORD1112,P1390,3,371.55,123.85,No,0,10.18,381.73,Not Returned,,10-05-2025,381.73
TX1112,ORD1112,P1399,2,130.34,65.17,No,0,10.66,141,Not Returned,,10-05-2025,141
TX1112,ORD1112,P1205,2,235.36,117.68,Yes,33.04,16.54,218.86,Not Returned,,10-05-2025,218.86
TX1113,ORD1113,P1387,1,30.5,30.5,Yes,7.46,19.71,42.75,Not Returned,,06-05-2025,42.75
TX1113,ORD1113,P1693,1,47.07,47.07,Yes,12.97,13.93,48.03,Not Returned,,06-05-2025,48.03
TX1113,ORD1113,P1213,2,227.34,113.67,No,0,18.32,245.66,Not Returned,,06-05-2025,245.66
TX1114,ORD1114,P1362,2,154.12,77.06,Yes,18.44,5.8,141.48,Not Returned,,15-05-2025,141.48
TX1114,ORD1114,P1243,3,82.95,27.65,Yes,24.2,18.27,77.02,Not Returned,,15-05-2025,77.02
TX1114,ORD1114,P1918,3,209.55,69.85,Yes,48.75,0.4,161.2,Not Returned,,15-05-2025,161.2
TX1115,ORD1115,P1330,3,871.83,290.61,Yes,255.75,10.9,626.98,Not Returned,,18-05-2025,626.98
TX1116,ORD1116,P1762,1,459.89,459.89,No,0,2.22,462.11,Not Returned,,04-05-2025,462.11
TX1116,ORD1116,P1591,3,161.37,53.79,Yes,23.17,7.06,145.26,Not Returned,,04-05-2025,145.26
TX1116,ORD1116,P1213,1,113.67,113.67,No,0,0.3,113.97,Not Returned,,04-05-2025,113.97
TX1117,ORD1117,P1014,3,192.9,64.3,No,0,13.82,206.72,Not Returned,,16-04-2025,206.72
TX1117,ORD1117,P1982,2,6.18,3.09,No,0,11.41,17.59,Not Returned,,16-04-2025,17.59
TX1117,ORD1117,P1908,3,347.7,115.9,Yes,71.72,0.68,276.66,Not Returned,,16-04-2025,276.66
TX1118,ORD1118,P1485,1,90.72,90.72,Yes,12.65,21.67,99.74,Not Returned,,23-03-2025,99.74
TX1118,ORD1118,P1531,2,58.42,29.21,No,0,4.83,63.25,Not Returned,,23-03-2025,63.25
TX1118,ORD1118,P1916,2,441.12,220.56,Yes,127.33,14.31,328.1,Not Returned,,23-03-2025,328.1
